low,median,high,generation
-125852649.802,19332206.0,96472422.62,0
-192974069.506,17721192.0,140061830.474,1
-141200531.812,8055085.4,192677647.66,2
-186749092.582,3769782.514,260855901.732,3
-359401444.985,2779013.6975,301897218.642,4
-377371515.377,4768780.86771,365198247.965,5
-377371515.727,11.7,365198248.965,6
-395631427.245,14.15,365198249.565,7
-377371516.227,10.65,365198253.665,8
-395631427.895,4742841.3424,365198256.515,9
-377371518.127,9057498.94,365198257.815,10
-377371521.827,11246565.85,365198258.615,11
-395631430.695,8836586.3,365198258.715,12
-395631427.995,15607102.2321,365198260.165,13
-395631428.095,4564297.346,365198257.115,14
-395631427.345,17291595.64,365198257.365,15
-395631426.945,32462072.2658,389351567.555,16
-395631427.495,15905850.78,389351570.305,17
-395631431.995,26085597.2832,365198257.365,18
-395631428.595,50103424.572,365198257.415,19
-395631431.145,30433190.5804,365198259.265,20
-376791838.624,33476511.0334,365198256.065,21
-377371517.077,50214764.9002,365198259.265,22
-377371512.877,28983992.548,365198261.065,23
-377371508.827,28180350.3678,365198258.265,24
-395631432.745,44635350.2279,365198258.915,25
-395631434.845,43900148.9888,365198258.915,26
-395631435.095,21308386.376,365198257.315,27
-377371518.577,48910483.356,365198258.265,28
-395631425.745,28467858.15,365198260.415,29
-377371516.627,38727296.11,365198260.765,30
-395631423.545,43829454.786,365198257.815,31
-395631425.945,37113643.37,365198260.665,32
-395631428.995,34780787.8776,365198257.515,33
-376791845.724,60866373.2108,365198259.565,34
-395631431.195,24635317.85,365198260.315,35
-395631429.145,52171176.6664,365198260.315,36
-376791841.674,29215869.2992,365198260.565,37
-376791836.824,35867687.1144,365198260.115,38
-395631427.695,25876916.5721,365198258.765,39
-376791840.274,26721833.5584,365198259.015,40
-395631431.345,12881780.338,365198258.865,41
-395631420.195,36229984.01,365198258.865,42
-376791837.874,58788018.6685,365198257.865,43
-395631432.095,60896450.43,365198258.165,44
-339112648.832,79390931.188,365198261.115,45
-395631427.095,59543202.166,365198260.065,46
-395631427.095,52398019.6241,365198256.865,47
-395631430.995,24899886.3476,365198259.365,48
-377371524.477,57967975.446,365198257.615,49
-395631432.595,38880967.99,365198258.415,50
-395631433.395,85709798.8448,365198257.915,51
-395631429.295,53690379.9917,365198260.615,52
-395631429.495,40505567.45,365198260.215,53
-377371521.477,30433194.2804,365198257.915,54
-395631432.645,57967975.096,389351566.155,55
-395631427.645,30433201.0804,365198258.265,56
-395631433.895,53250014.57,365198256.515,57
-395631428.845,66953010.4169,365198257.115,58
-86951955.644,12194490.908,121732749.422,0
-146079294.946,9090439.6396,365198245.665,1
-333729911.268,11363049.662,365198251.365,2
-395631429.995,1260181.276,365198253.115,3
-395631434.345,30433190.8804,365198256.965,4
-395631427.145,59285436.23,365198257.865,5
-395631428.845,45020478.506,365198256.565,6
-377371517.777,16007080.8056,365198255.215,7
-395631423.995,24594996.9542,365198257.515,8
-395631432.695,10869000.268,365198256.315,9
-395631431.795,23667909.5574,365198256.315,10
-395631431.845,13615068.5,365198257.515,11
-395631429.645,30433192.2804,365198258.315,12
-395631427.495,19087025.656,365198256.865,13
-395631433.695,47171443.1971,365198257.015,14
-376791836.674,9129969.15912,365198257.315,15
-395631434.695,12146285.772,365198257.765,16
-377371516.877,27994295.3588,365198260.015,17
-395631428.945,27389871.8774,365198257.515,18
-395631433.995,21408629.89,365198257.315,19
-395631419.745,32321537.4408,365198258.415,20
-395631430.695,19532696.128,365198259.065,21
-395631430.645,36888720.952,365198258.415,22
-395631432.295,62249710.294,365198259.765,23
-376791842.224,33668276.13,365198258.315,24
-395631436.795,33402286.998,365198259.915,25
-395631425.595,36229985.86,365198258.315,26
-395631433.295,52171183.4664,365198259.665,27
-395631428.495,38174036.212,365198260.765,28
-377371516.377,30433194.1304,365198258.515,29
-395631423.095,21737997.136,365198258.665,30
-350416403.514,26085598.1832,365198259.765,31
-395631429.245,62249708.194,365198257.015,32
-376791836.474,26721831.4084,365198259.865,33
-377371514.077,36888714.352,365198258.315,34
-395631434.695,38041490.388,365198258.765,35
-377371521.127,29215862.1992,365198257.815,36
-376791834.224,40991646.2736,365198257.915,37
-395631435.545,23817284.8064,365198258.665,38
-377371519.527,24057857.56,365198260.365,39
-377371519.477,29215860.1992,365198260.365,40
-395631430.195,46190578.3895,365198258.615,41
-377371520.027,33476512.0834,365198259.665,42
-395631433.345,23817284.8064,365198260.015,43
-377371512.077,63764781.7256,365198261.665,44
-395631429.345,35298372.6856,365198259.915,45
-395631428.995,63583631.0528,365198260.765,46
-395631434.695,40577585.4572,365198258.315,47
-395631432.945,31040505.734,365198256.615,48
-377371516.127,59543195.166,365198257.815,49
-395631424.245,46208763.0502,365198260.015,50
-395631430.645,31302711.9598,365198257.265,51
-377371518.927,27389878.2774,365198257.515,52
-395631429.495,36519836.3865,365198258.015,53
-377371522.227,68474678.1684,365198258.915,54
-395631430.945,43829451.536,365198260.015,55
-395631428.045,24222336.8844,365198260.015,56
-395631430.745,33402291.248,365198260.015,57
-395631437.595,19688951.8766,365198259.415,58
-377371517.027,62249711.544,365198258.515,59
-56863393.096,-4998968.448,69561582.3052,0
-88182007.6027,-2332844.7424,139123154.11,1
-213668533.788,-2921961.9824,143152626.07,2
-243465497.343,-1021117.196,206776014.69,3
-231871902.634,-3888095.954,316505151.666,4
-376791839.524,-1458610.268,316505147.916,5
-376791837.824,2.55,389351572.705,6
-376791841.674,-6563399.9,389351569.705,7
-395631435.995,-3508930.0208,389351573.455,8
-395631429.645,-18579868.812,389351571.355,9
-395631428.445,-36841871.9437,339112665.182,10
-395631424.945,-15699649.076,389351566.255,11
-395631426.995,-17064844.85,389351558.305,12
-395631429.745,-32936342.95,389351569.205,13
-395631431.095,-32121502.5109,389351567.405,14
-395631430.795,-58873725.86,365198246.715,15
-395631433.195,-28707946.5204,339112665.832,16
-395631426.945,-24573375.432,389351567.455,17
-395631430.595,-31563986.55,389351565.355,18
-395631431.895,-39680459.88,389351565.305,19
-395631434.395,-43078331.7,365198249.665,20
-395631432.945,-61167508.0,389351567.005,21
-395631433.195,-47656942.3876,389351569.505,22
-395631435.595,-29904116.34,365198256.715,23
-395631433.045,-30327145.2512,365198247.265,24
-395631433.495,-57967971.096,389351565.405,25
-395631433.895,-26913702.916,389351565.105,26
-395631433.745,-34780777.0276,365198252.065,27
-395631428.245,-39473436.5968,389351566.355,28
-395631434.645,-29496333.214,365198252.215,29
-395631428.245,-26760776.75,365198254.265,30
-395631432.595,-73848575.4,389351561.455,31
-395631433.545,-53093398.4552,389351572.955,32
-395631432.545,-24573375.882,389351564.655,33
-395631433.195,-54997110.4621,389351573.805,34
-395631434.495,-30277919.618,365198241.015,35
-395631433.145,-71735367.5288,389351565.255,36
-395631433.095,-27570129.642,389351569.705,37
-395631432.295,-16746294.7244,389351564.055,38
-395631436.245,-39962771.698,389351568.655,39
-395631434.395,-33911266.2982,365198246.565,40
-395631432.995,-25690351.738,389351561.655,41
-395631434.995,-61433454.38,365198248.065,42
-395631437.895,-43915127.95,389351566.855,43
-395631431.445,-22428087.78,365198254.165,44
-395631436.495,-19029892.58,365198254.015,45
-395631435.495,-31189289.556,389351567.005,46
-395631433.845,-27172482.62,389351570.855,47
-395631433.545,-53827404.282,365198252.265,48
-395631436.445,-25690343.638,365198247.865,49
-395631436.495,-31399320.802,365198252.015,50
-395631434.945,-20185276.412,365198256.315,51
-395631433.295,-53058435.2944,339112654.232,52
-395631434.695,-39720136.3393,389351568.205,53
-395631438.345,-38059780.61,365198247.965,54
-395631436.095,-34462667.54,389351567.955,55
-395631434.945,-71769875.526,389351566.605,56
-395631437.045,-45394448.0163,365198248.415,57
-395631437.395,-32296440.9292,389351565.355,58
-395631435.145,-41447098.9366,389351564.255,59
-395631435.745,-64505119.684,389351567.105,60
-395631440.495,-37084821.38,389351570.555,61
-395631435.795,-49736520.654,389351562.055,62
